ProcessId,Finish Time,Turnaround Time,Normalized Turnaround Time
0,476,476,158.67
1,490,490,122.50
2,504,504,72.00
3,518,518,64.75
4,65,65,7.22
5,79,79,8.78
6,94,94,9.40
7,112,112,8.00
8,0,0,0.00
9,0,0,0.00
10,0,0,0.00
11,155,152,152.00
12,169,166,166.00
13,184,181,90.50
14,203,200,28.57
15,219,216,24.00
16,225,219,219.00
17,241,235,78.33
18,255,249,83.00
19,270,264,66.00
20,286,280,46.67
21,303,296,32.89
22,312,301,75.25
23,327,316,63.20
24,338,325,162.50
25,354,341,85.25
26,369,356,71.20
27,385,369,52.71
28,400,384,48.00
29,416,400,40.00
30,427,409,58.43
31,435,415,415.00
32,0,0,0.00
33,469,445,63.57

Average Turnaround Time: 263.62

Average Normalized Turnaround Time: 76.18

Average Latency: 258.62

Processor Utilization: 0.42
