ProcessId,Finish Time,Turnaround Time,Normalized Turnaround Time
0,3,3,1.00
1,20,20,5.00
2,56,56,8.00
3,92,92,11.50
4,109,109,12.11
5,118,118,13.11
6,146,146,14.60
7,170,170,12.14
8,187,187,11.00
9,204,204,12.00
10,224,224,11.20
11,4,1,1.00
12,5,2,2.00
13,7,4,2.00
14,63,60,8.57
15,127,124,13.78
16,8,2,2.00
17,11,5,1.67
18,14,8,2.67
19,25,19,4.75
20,49,43,7.17
21,136,129,14.33
22,29,18,4.50
23,38,27,5.40
24,16,3,1.50
25,33,20,5.00
26,43,30,6.00
27,70,54,7.71
28,100,84,10.50
29,156,140,14.00
30,77,59,8.43
31,21,1,1.00
32,249,228,9.12
33,84,60,8.57

Average Turnaround Time: 72.06

Average Normalized Turnaround Time: 7.45

Average Latency: 0.91

Processor Utilization: 1.00
